"zip","city","county","state","pop"
"33012","Hialeah","Miami-Dade","FL",75666
"33024","Hollywood","Broward","FL",75306
"33023","Hollywood","Broward","FL",73671
"33311","Fort Lauderdale","Broward","FL",73034
"33025","Hollywood","Broward","FL",71763
"33411","West Palm Beach","Palm Beach","FL",71587
"33186","Miami","Miami-Dade","FL",70614
"34953","Port Saint Lucie","Saint Lucie","FL",69685
"33157","Miami","Miami-Dade","FL",68402
"33647","Tampa","Hillsborough","FL",67730
"33015","Hialeah","Miami-Dade","FL",66272
"32828","Orlando","Orange","FL",65665
"32765","Oviedo","Seminole","FL",65151
"34787","Winter Garden","Orange","FL",64723
"33313","Fort Lauderdale","Broward","FL",62405
"33463","Lake Worth","Palm Beach","FL",62043
"32218","Jacksonville","Duval","FL",61846
"32825","Orlando","Orange","FL",61550
"32210","Jacksonville","Duval","FL",61496
"33125","Miami","Miami-Dade","FL",61492
"33064","Pompano Beach","Broward","FL",61397
"33414","West Palm Beach","Palm Beach","FL",61301
"32822","Orlando","Orange","FL",60781
"32244","Jacksonville","Duval","FL",60712
"34711","Clermont","Lake","FL",60564
"33027","Hollywood","Broward","FL",60191
"33142","Miami","Miami-Dade","FL",58574
"33033","Homestead","Miami-Dade","FL",58224
"33177","Miami","Miami-Dade","FL",58129
"33511","Brandon","Hillsborough","FL",57642
"32808","Orlando","Orange","FL",57443
"33065","Pompano Beach","Broward","FL",57399
"32068","Middleburg","Clay","FL",57226
"33458","Jupiter","Palm Beach","FL",56642
"33165","Miami","Miami-Dade","FL",56133
"33161","Miami","Miami-Dade","FL",55663
"32818","Orlando","Orange","FL",55586
"33175","Miami","Miami-Dade","FL",55334
"34744","Kissimmee","Osceola","FL",55210
"32771","Sanford","Seminole","FL",54980
"33063","Pompano Beach","Broward","FL",54937
"32162","Lady Lake","Sumter","FL",54530
"32225","Jacksonville","Duval","FL",54496
"32837","Orlando","Orange","FL",54051
"33312","Fort Lauderdale","Broward","FL",53552
"33467","Lake Worth","Palm Beach","FL",53339
"33126","Miami","Miami-Dade","FL",52987
"33018","Hialeah","Miami-Dade","FL",52526
"33176","Miami","Miami-Dade","FL",52461
"32839","Orlando","Orange","FL",52371
"33196","Miami","Miami-Dade","FL",51752
"33068","Pompano Beach","Broward","FL",51617
"33415","West Palm Beach","Palm Beach","FL",51582
"33178","Miami","Miami-Dade","FL",51459
"33193","Miami","Miami-Dade","FL",51378
"32246","Jacksonville","Duval","FL",51275
"33016","Hialeah","Miami-Dade","FL",51003
"32703","Apopka","Orange","FL",50992
"32792","Winter Park","Orange","FL",50991
"32174","Ormond Beach","Volusia","FL",50869
"32303","Tallahassee","Leon","FL",50436
"33810","Lakeland","Polk","FL",50302
"32259","Jacksonville","Saint Johns","FL",49969
"33021","Hollywood","Broward","FL",49350
"33612","Tampa","Hillsborough","FL",49312
